(Intercept) as.factor(phenotypes$Age.x)1 as.factor(phenotypes$Age.x)2 as.factor(phenotypes$Age.x)3 as.factor(phenotypes$Age.x)4 as.factor(phenotypes$Age.x)5 as.factor(phenotypes$Age.x)6 as.factor(phenotypes$Age.x)7 as.factor(phenotypes$Age.x)8 as.factor(phenotypes$Age.x)9 as.factor(phenotypes$Age.x)10 as.factor(phenotypes$Age.y)3 as.factor(phenotypes$Age.y)4 as.factor(phenotypes$Age.y)5 as.factor(phenotypes$Age.y)6 as.factor(phenotypes$Age.y)7 as.factor(phenotypes$Age.y)8 as.factor(phenotypes$Age.y)9 as.factor(phenotypes$Gen.Line)RAMB as.factor(phenotypes$Gen.Line)UNKN as.factor(phenotypes$Management.Group)1 as.factor(phenotypes$Management.Group)2 as.factor(phenotypes$Lambs.Birthed.x)2 as.factor(phenotypes$Lambs.Birthed.x)3 as.factor(phenotypes$Lambs.Birthed.x)4 as.factor(phenotypes$Lambs.Birthed.y)2 as.factor(phenotypes$Lambs.Birthed.y)3
-0.4754755 -0.002800874 0.3676265 0.1251633 0.06034907 0.1463108 0.06138476 0.5519444 0.04102313 -0.02762682 -0.1262569 0.3093388 0.6378225 0.7103081 0.1602164 0.279891 2.025473 2.282555 0.4533436 0.301334 0.140742 -0.3773138 0.3493692 0.6790899 0.4956317 -0.07267395 0.264583
-0.4949735 0.1086401 0.08937111 -0.0004382458 0.242545 0.1060014 0.1729889 0.199576 0.1555918 0.008638857 -0.1845982 0.2106565 0.6458362 0.5377366 0.1609571 1.154411 0.9008787 0.6488043 0.3409274 0.4586989 0.3383439 -0.2789988 0.3101083 0.3516711 -0.213523 0.005814139 0.4808199
-0.4553018 1.183182 0.01540603 -0.09082586 0.0545854 0.05402742 -0.1065354 0.5549199 -0.1392525 -0.09421492 -0.2795311 0.2707858 0.6258876 0.6442353 0.08823653 0.2431465 -0.02725668 2.365316 0.410595 0.1971752 0.2018042 -0.2432736 0.3094172 0.3975541 0.2981928 -0.1144495 0.472661
-0.4832238 0.02013076 0.2744297 0.03077606 0.2352869 0.1281645 0.2120273 0.3594936 0.1657247 0.04027677 -0.3470403 0.1735823 0.447255 0.5022753 -0.04715127 -0.278909 -0.157709 0.6370937 0.1716402 0.1063155 0.5329891 -0.006255909 0.1993361 0.6775454 -0.2255282 -0.03040754 0.05944533
-0.4344233 0.7461762 0.06403532 0.09593891 0.1610652 0.2095091 0.1119431 0.3081575 0.2041673 0.008460739 -0.903353 0.1298889 0.292654 0.3125228 -0.2612215 -0.3641039 0.1296791 2.321358 0.2155791 0.07913675 0.3746187 0.004873792 0.2341247 0.5489586 -0.2201126 0.02186734 0.4168
-0.3619076 0.8267773 0.1048186 0.06200537 0.1981769 0.2106812 0.06738666 0.4318535 0.4233594 -0.416844 0.1484544 0.2087473 -0.04556813 0.1229617 -0.2030546 -0.546352 -0.3664564 1.65048 0.1856248 -0.1280481 0.3922835 0.2679056 0.1568511 0.512613 0.06836246 0.06619734 0.8648707
-0.4232674 1.010564 0.2406382 0.04792792 0.2285341 0.1637748 0.2056685 0.3562053 0.1940276 -0.02460308 0.1057138 0.1124096 0.04724277 0.08084411 -0.617801 -0.586244 0.4618657 1.121758 0.221519 -0.002388023 0.7773511 0.2934231 0.1972059 0.2028356 0.07570513 -0.002194792 0.01568943
-0.3461378 0.4797291 0.0488076 -0.05022627 0.06951047 -0.1421781 -0.1458967 0.3545048 0.416373 -0.1283541 -0.2830304 0.3465813 -0.005231119 0.07831241 -0.6079014 0.6461601 1.4174 -0.0859026 0.1963827 -0.01192217 1.015196 0.3975146 0.2159014 0.6268436 0.4253887 0.07504265 0.1430295
-0.1566656 -0.2215337 0.1099455 -0.1557306 -0.01010512 -0.0891037 -0.06136338 0.2241236 0.1716968 -0.04961751 -0.241972 0.289343 -0.09900133 0.06132541 -0.6794825 -0.405768 0.6341047 1.582668 0.2482604 -0.4134271 0.8895807 0.233657 0.2662677 0.1585797 0.2903042 0.04366406 -0.2670211
-0.1341331 -0.05112211 0.126434 -0.1544594 0.05708115 -0.02246633 0.02625809 0.377143 -0.1638347 -0.1806474 -0.7998809 0.1693214 0.04343351 0.1865983 -1.17121 -0.9949727 -0.8479734 1.07348 0.3664056 -0.1004971 1.341418 0.1175067 0.1172722 0.4808562 0.5698264 0.07348969 0.9136374
